Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2019,3,25,2,Subscriber,11240,12.0
2019,3,26,1,Customer,1290,26.0
2019,3,26,1,Subscriber,39558,11.0
2019,3,26,2,Customer,601,28.0
2019,3,26,2,Subscriber,11731,13.0
2019,3,27,1,Customer,1116,24.0
2019,3,27,1,Subscriber,39069,12.0
2019,3,27,2,Customer,493,29.0
2019,3,27,2,Subscriber,11552,15.0
2019,3,28,1,Customer,1377,24.0
2019,3,28,1,Subscriber,41597,12.0
2019,3,28,2,Customer,649,32.0
2019,3,28,2,Subscriber,12275,15.0
2019,3,29,1,Customer,1810,47.0
2019,3,29,1,Subscriber,41361,14.0
2019,3,29,2,Customer,854,31.0
2019,3,29,2,Subscriber,12212,14.0
2019,3,30,1,Customer,4849,35.0
2019,3,30,1,Subscriber,35954,16.0
2019,3,30,2,Customer,3214,36.0
2019,3,30,2,Subscriber,13740,17.0
2019,3,31,1,Customer,1480,27.0
2019,3,31,1,Subscriber,21138,12.0
2019,3,31,2,Customer,637,50.0
2019,3,31,2,Subscriber,7077,13.0
2019,4,1,1,Customer,1181,24.0
2019,4,1,1,Subscriber,37036,12.0
2019,4,1,2,Customer,488,28.0
2019,4,1,2,Subscriber,10619,15.0
2019,4,2,1,Customer,1160,28.0
2019,4,2,1,Subscriber,41821,12.0
2019,4,2,2,Customer,461,29.0
2019,4,2,2,Subscriber,12361,14.0
2019,4,3,1,Customer,1885,33.0
2019,4,3,1,Subscriber,47447,14.0
2019,4,3,2,Customer,950,39.0
2019,4,3,2,Subscriber,14271,16.0
2019,4,4,1,Customer,1814,36.0
2019,4,4,1,Subscriber,46666,13.0
2019,4,4,2,Customer,900,27.0
2019,4,4,2,Subscriber,13815,16.0
2019,4,5,1,Customer,738,17.0
2019,4,5,1,Subscriber,25525,13.0
2019,4,5,2,Customer,232,30.0
2019,4,5,2,Subscriber,6842,11.0
2019,4,6,1,Customer,4348,44.0
2019,4,6,1,Subscriber,36015,15.0
2019,4,6,2,Customer,2737,36.0
2019,4,6,2,Subscriber,13866,17.0
2019,4,7,1,Customer,4452,39.0
2019,4,7,1,Subscriber,35240,17.0
2019,4,7,2,Customer,2881,48.0
2019,4,7,2,Subscriber,13544,18.0
2019,4,8,1,Customer,2336,53.0
2019,4,8,1,Subscriber,47499,16.0
2019,4,8,2,Customer,1195,47.0
2019,4,8,2,Subscriber,14976,19.0
2019,4,9,1,Customer,1286,39.0
2019,4,9,1,Subscriber,42496,15.0
2019,4,9,2,Customer,524,32.0
2019,4,9,2,Subscriber,12532,15.0
2019,4,10,1,Customer,1954,46.0
2019,4,10,1,Subscriber,49217,15.0
2019,4,10,2,Customer,1027,43.0
2019,4,10,2,Subscriber,15317,16.0
2019,4,11,1,Customer,1623,34.0
2019,4,11,1,Subscriber,44075,14.0
2019,4,11,2,Customer,773,59.0
2019,4,11,2,Subscriber,13082,14.0
2019,4,12,1,Customer,1984,44.0
2019,4,12,1,Subscriber,39975,14.0
2019,4,12,2,Customer,930,55.0
2019,4,12,2,Subscriber,11672,16.0
2019,4,13,1,Customer,5252,42.0
2019,4,13,1,Subscriber,37609,18.0
2019,4,13,2,Customer,3574,50.0
2019,4,13,2,Subscriber,14959,20.0
2019,4,14,1,Customer,4150,35.0
2019,4,14,1,Subscriber,31494,19.0
2019,4,14,2,Customer,2662,50.0
2019,4,14,2,Subscriber,12644,21.0
2019,4,15,1,Customer,1374,28.0
2019,4,15,1,Subscriber,32101,16.0
2019,4,15,2,Customer,570,54.0
2019,4,15,2,Subscriber,9391,21.0
2019,4,16,1,Customer,2095,33.0
2019,4,16,1,Subscriber,42670,16.0
2019,4,16,2,Customer,1142,29.0
2019,4,16,2,Subscriber,13553,16.0
2019,4,17,1,Customer,2099,27.0
2019,4,17,1,Subscriber,43931,14.0
2019,4,17,2,Customer,1132,48.0
2019,4,17,2,Subscriber,13923,17.0
2019,4,18,1,Customer,1887,22.0
2019,4,18,1,Subscriber,42439,14.0
2019,4,18,2,Customer,905,52.0
2019,4,18,2,Subscriber,12819,15.0
2019,4,19,1,Customer,3524,29.0
2019,4,19,1,Subscriber,39623,13.0
2019,4,19,2,Customer,1999,29.0
2019,4,19,2,Subscriber,13084,14.0
2019,4,20,1,Customer,2413,37.0
2019,4,20,1,Subscriber,21063,13.0
2019,4,20,2,Customer,1363,41.0
2019,4,20,2,Subscriber,7424,14.0
2019,4,21,1,Customer,4008,31.0
2019,4,21,1,Subscriber,26075,14.0
2019,4,21,2,Customer,2741,31.0
2019,4,21,2,Subscriber,9969,18.0
2019,4,22,1,Customer,3380,23.0
2019,4,22,1,Subscriber,28110,12.0
2019,4,22,2,Customer,1792,36.0
2019,4,22,2,Subscriber,8199,15.0
2019,4,23,1,Customer,3833,32.0
2019,4,23,1,Subscriber,47009,13.0
2019,4,23,2,Customer,2295,35.0
2019,4,23,2,Subscriber,15399,16.0
2019,4,24,1,Customer,3501,30.0
2019,4,24,1,Subscriber,49161,14.0
2019,4,24,2,Customer,2090,34.0
2019,4,24,2,Subscriber,16099,17.0
2019,4,25,1,Customer,2302,23.0
2019,4,25,1,Subscriber,40316,12.0
2019,4,25,2,Customer,1392,34.0
2019,4,25,2,Subscriber,12098,14.0
2019,4,26,1,Customer,1089,24.0
2019,4,26,1,Subscriber,26667,12.0
2019,4,26,2,Customer,444,49.0
2019,4,26,2,Subscriber,7164,12.0
