Trip_Year,Trip_Month,start station name,start station latitude,start station longitude,trip_count
2020,2,5 St & 51 Ave,40.7423737,-73.9566,9393
2020,2,5 St & 6 Ave,40.670483600000004,-73.98208968,9393
2020,2,5 St & Market St,40.6999974843885,-73.97440128028394,9393
2020,2,6 Ave & 12 St,40.666318100000005,-73.9854617,9393
2020,2,6 Ave & 9 St,40.668127,-73.98377641,9393
2020,2,6 Ave & Broome St,40.72430832160217,-74.00473035871983,9393
2020,2,6 Ave & Canal St,40.72243797,-74.00566443,9393
2020,2,6 Ave & W 33 St,40.74901271,-73.98848395,9393
2020,2,6 Ave & W 34 St,40.74964,-73.98805,9393
2020,2,6 St & 7 Ave,40.668662700000006,-73.97988067,9393
2020,2,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,9393
2020,2,7 Ave & Park Pl,40.677,-73.97399999999999,9393
2020,2,7 Ave & Park Pl,40.67761470000001,-73.97324283,9393
2020,2,7 St & 3 Ave,40.67260298150126,-73.98983001708984,9393
2020,2,7 St & 5 Ave,40.670492200000005,-73.98541675,9393
2020,2,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,9393
2020,2,8 Ave & W 33 St,40.751551,-73.993934,9393
2020,2,8 Ave & W 52 St,40.76370739,-73.9851615,9393
2020,2,9 Ave & W 18 St,40.74317449,-74.00366443,9393
2020,2,9 Ave & W 22 St,40.7454973,-74.00197139,9393
2020,2,9 Ave & W 22 St,40.746,-74.001,9393
2020,2,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,9393
2020,2,9 Ave & W 45 St,40.76019252,-73.9912551,9393
2020,2,9 Ave & W 45 St,40.760999999999996,-73.992,9393
2020,2,9 St & 44 Rd,40.74966,-73.9521,9393
2020,2,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,9393
2020,2,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,9393
2020,2,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,9393
2020,2,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,9393
2020,2,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,9393
2020,2,Albany Ave & Fulton St,40.6800105,-73.938475,9393
2020,2,Allen St & Hester St,40.71605866,-73.99190759,9393
2020,2,Allen St & Rivington St,40.72019576,-73.98997825,9393
2020,2,Allen St & Stanton St,40.722055,-73.989111,9393
2020,2,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,9393
2020,2,Amsterdam Ave & W 125 St,40.813358,-73.956461,9393
2020,2,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,9393
2020,2,Amsterdam Ave & W 66 St,40.775999999999996,-73.986,9393
2020,2,Amsterdam Ave & W 73 St,40.779,-73.98,9393
2020,2,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,9393
2020,2,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,9393
2020,2,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,9393
2020,2,Astoria Park S & Shore Blvd,40.7767,-73.927631,9393
2020,2,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,9393
2020,2,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,9393
2020,2,Avenue C & E 18 St,40.730563000000004,-73.973984,9393
2020,2,Avenue D & E 12 St,40.72580614,-73.97422494,9393
2020,2,Avenue D & E 3 St,40.72082834,-73.97793172,9393
2020,2,Avenue D & E 8 St,40.72387,-73.975767,9393
2020,2,Baltic St & 5 Ave,40.6795766,-73.97854971,9393
2020,2,Bank St & Hudson St,40.73652889,-74.00618026,9393
2020,2,Bank St & Washington St,40.7361967,-74.00859207,9393
2020,2,Banker St & Meserole Ave,40.72606,-73.95621,9393
2020,2,Barclay St & Church St,40.71291224,-74.01020234,9393
2020,2,Barrow St & Hudson St,40.73172428,-74.00674436,9393
2020,2,Bayard St & Baxter St,40.71602118,-73.99974372,9393
2020,2,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,9393
2020,2,Beaver St & Fayette St,40.700990000000004,-73.93921,9393
2020,2,Bedford Ave & Bergen St,40.676368,-73.95291800000001,9393
2020,2,Bedford Ave & Montgomery St,40.665816,-73.95693399999999,9393
2020,2,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,9393
2020,2,Bedford Ave & S 9 St,40.70853074,-73.96408963,9393
2020,2,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,9393
2020,2,Bergen St & Smith St,40.686744299999994,-73.99063168,9393
2020,2,Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,9393
2020,2,Bergen St & Vanderbilt Ave,40.68,-73.968,9393
2020,2,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,9393
2020,2,Berkeley Pl & 7 Ave,40.674,-73.97399999999999,9393
2020,2,Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,9393
2020,2,Berry St & N 8 St,40.7190095,-73.95852515,9393
2020,2,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,9393
2020,2,Boerum St & Broadway,40.70538077,-73.94976519,9393
2020,2,Bond St & Bergen St,40.6849668,-73.98620772,9393
2020,2,Bond St & Fulton St,40.68962188790333,-73.98304268717766,9393
2020,2,Broad St & Bridge St,40.70365182,-74.01167797,9393
2020,2,Broadway & 12 St,40.7668,-73.93477740000002,9393
2020,2,Broadway & Battery Pl,40.70463334,-74.01361706,9393
2020,2,Broadway & Berry St,40.71044554,-73.96525063,9393
2020,2,Broadway & E 14 St,40.73454567,-73.99074142,9393
2020,2,Broadway & E 22 St,40.740343200000005,-73.98955109,9393
2020,2,Broadway & Furman Ave,40.68139,-73.90756,9393
2020,2,Broadway & Hancock St,40.68663,-73.9168,9393
2020,2,Broadway & Kosciuszko St,40.693290000000005,-73.92851999999999,9393
2020,2,Broadway & Madison St,40.68822,-73.91966,9393
2020,2,Broadway & Moylan Pl,40.8143256,-73.9590255,9393
2020,2,Broadway & Roebling St,40.70924826276157,-73.96063148975372,9393
2020,2,Broadway & Roebling St,40.71,-73.962,9393
2020,2,Broadway & W 122 St,40.8120562,-73.9612547,9393
2020,2,Broadway & W 25 St,40.74286877312112,-73.98918628692627,9393
2020,2,Broadway & W 29 St,40.7462009,-73.98855723,9393
2020,2,Broadway & W 36 St,40.75097711,-73.98765428,9393
2020,2,Broadway & W 37 St,40.75172632,-73.98753523,9393
2020,2,Broadway & W 38 St,40.75299641,-73.98721619,9393
2020,2,Broadway & W 41 St,40.75513557,-73.98658032,9393
2020,2,Broadway & W 49 St,40.76068327096592,-73.98452728986742,9393
2020,2,Broadway & W 49 St,40.760999999999996,-73.986,9393
2020,2,Broadway & W 51 St,40.760999999999996,-73.983,9393
