Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2020,3,26,1,Subscriber,12481,19.487598483027533
2020,3,26,2,Customer,1041,44.07929875120077
2020,3,26,2,Subscriber,4750,26.418157894736844
2020,3,27,1,Customer,1924,55.711443173943174
2020,3,27,1,Subscriber,14220,20.75179676511955
2020,3,27,2,Customer,1529,38.979670808807505
2020,3,27,2,Subscriber,5616,24.587511870845205
2020,3,28,1,Customer,576,23.946701388888886
2020,3,28,1,Subscriber,5359,22.358810723393667
2020,3,28,2,Customer,275,75.0938181818182
2020,3,28,2,Subscriber,1907,20.726647439258873
2020,3,29,1,Customer,686,26.815451895043733
2020,3,29,1,Subscriber,5935,18.149828699803425
2020,3,29,2,Customer,308,76.98371212121212
2020,3,29,2,Subscriber,1867,22.876950544545615
2020,3,30,1,Customer,930,25.42689964157706
2020,3,30,1,Subscriber,9208,15.837869244135534
2020,3,30,2,Customer,508,28.39849081364829
2020,3,30,2,Subscriber,3198,21.957400458619972
2020,3,31,1,Customer,864,30.021913580246913
2020,3,31,1,Subscriber,9142,18.37226172245315
2020,3,31,2,Customer,491,31.88041412084182
2020,3,31,2,Subscriber,3395,17.776161021109477
